,RMSE_val,RMSE_train,normalize_function,model_name,model_type,window_len,scaller,rnn_cells,extra_hidden_layer
71,8.375632443277247,8.760540348376969,diff,LSTM2_RNN-21-W_LEN-STD-SCL-256-RNN_S-1590108698,LSTM2_RNN,21,STD,256,1
72,3.912350010934924,2.571687330817401,diff,LSTM2_RNN-28-W_LEN-STD-SCL-64-RNN_S-1590108926,LSTM2_RNN,28,STD,64,0
73,3.813718253685358,3.4428918575858742,diff,LSTM2_RNN-28-W_LEN-STD-SCL-64-RNN_S-1590109078,LSTM2_RNN,28,STD,64,1
74,3.980788272345357,4.155473831074986,diff,LSTM2_RNN-28-W_LEN-STD-SCL-256-RNN_S-1590109228,LSTM2_RNN,28,STD,256,0
75,3.865623162361899,4.063812714584421,diff,LSTM2_RNN-28-W_LEN-STD-SCL-256-RNN_S-1590109511,LSTM2_RNN,28,STD,256,1
76,4.1377594473016845,2.7449226758645326,diff,LSTM2_RNN-49-W_LEN-STD-SCL-64-RNN_S-1590109782,LSTM2_RNN,49,STD,64,0
77,3.616470068162171,3.2740305574976967,diff,LSTM2_RNN-49-W_LEN-STD-SCL-64-RNN_S-1590110005,LSTM2_RNN,49,STD,64,1
78,3.9074734621974834,4.1732405679428615,diff,LSTM2_RNN-49-W_LEN-STD-SCL-256-RNN_S-1590110231,LSTM2_RNN,49,STD,256,0
79,3.884405783354992,4.120295558863527,diff,LSTM2_RNN-49-W_LEN-STD-SCL-256-RNN_S-1590110649,LSTM2_RNN,49,STD,256,1
0,0.04852034447036065,0.04879410586982248,pct_change,LSTM2-7-W_LEN-MiMax-SCL-64-RNN_S-1590093524,LSTM2,7,MiMax,64,0
1,0.059767404419130914,0.0667081933794489,pct_change,LSTM2-7-W_LEN-MiMax-SCL-64-RNN_S-1590093590,LSTM2,7,MiMax,64,1
2,0.07701733539209601,0.07736517957498787,pct_change,LSTM2-7-W_LEN-MiMax-SCL-256-RNN_S-1590093656,LSTM2,7,MiMax,256,0
3,0.043551698698917535,0.04171707256512941,pct_change,LSTM2-7-W_LEN-MiMax-SCL-256-RNN_S-1590093758,LSTM2,7,MiMax,256,1
4,0.05987500823013831,0.06171087102456897,pct_change,LSTM2-14-W_LEN-MiMax-SCL-64-RNN_S-1590093870,LSTM2,14,MiMax,64,0
5,0.048151596063523296,0.04962765035945013,pct_change,LSTM2-14-W_LEN-MiMax-SCL-64-RNN_S-1590093975,LSTM2,14,MiMax,64,1
6,0.04564326321426386,0.04340485535620845,pct_change,LSTM2-14-W_LEN-MiMax-SCL-256-RNN_S-1590094062,LSTM2,14,MiMax,256,0
7,0.043489011436695306,0.04166727059364121,pct_change,LSTM2-14-W_LEN-MiMax-SCL-256-RNN_S-1590094211,LSTM2,14,MiMax,256,1
8,0.04242763193803071,0.04055086465780874,pct_change,LSTM2-21-W_LEN-MiMax-SCL-64-RNN_S-1590094364,LSTM2,21,MiMax,64,0
9,0.04478443305170585,0.04418575909141483,pct_change,LSTM2-21-W_LEN-MiMax-SCL-64-RNN_S-1590094490,LSTM2,21,MiMax,64,1
10,0.04344463817748337,0.041334956468025034,pct_change,LSTM2-21-W_LEN-MiMax-SCL-256-RNN_S-1590094623,LSTM2,21,MiMax,256,0
11,0.04432876208101175,0.043098180164950164,pct_change,LSTM2-21-W_LEN-MiMax-SCL-256-RNN_S-1590094848,LSTM2,21,MiMax,256,1
12,0.043158814769882765,0.04496061520010651,pct_change,LSTM2-28-W_LEN-MiMax-SCL-64-RNN_S-1590095049,LSTM2,28,MiMax,64,0
13,0.07054361958597792,0.06320995343029487,pct_change,LSTM2-28-W_LEN-MiMax-SCL-64-RNN_S-1590095203,LSTM2,28,MiMax,64,1
14,0.04366655798610621,0.042158695464813885,pct_change,LSTM2-28-W_LEN-MiMax-SCL-256-RNN_S-1590095355,LSTM2,28,MiMax,256,0
15,0.04363058958750106,0.04211047433449714,pct_change,LSTM2-28-W_LEN-MiMax-SCL-256-RNN_S-1590095670,LSTM2,28,MiMax,256,1
16,0.0799578722547747,0.07811641622505583,pct_change,LSTM2-49-W_LEN-MiMax-SCL-64-RNN_S-1590095983,LSTM2,49,MiMax,64,0
17,0.04834619851545769,0.04505195790335595,pct_change,LSTM2-49-W_LEN-MiMax-SCL-64-RNN_S-1590096233,LSTM2,49,MiMax,64,1
18,0.044667645355214336,0.04239074933290362,pct_change,LSTM2-49-W_LEN-MiMax-SCL-256-RNN_S-1590096473,LSTM2,49,MiMax,256,0
19,0.043677878291747296,0.04239465106580626,pct_change,LSTM2-49-W_LEN-MiMax-SCL-256-RNN_S-1590096941,LSTM2,49,MiMax,256,1
