kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-14;GAS_BASE_Q-2-16;66.75;66.75;66.75;66.75;10920.00;5.00;728910.00;1.00;66.75;66.75;9218664.00;4221.00;976248.00;447.00
2016-01-14;GAS_BASE_Q-3-16;-;65.75;-;-;-;-;-;-;65.50;66.00;8891616.00;4027.00;483552.00;219.00
2016-01-14;GAS_BASE_Q-4-16;72.50;72.37;72.25;72.50;44180.00;20.00;3198079.75;5.00;72.50;72.25;9425803.00;4267.00;1184024.00;536.00
2016-01-14;GAS_BASE_Q-1-17;-;74.25;-;-;-;-;-;-;74.00;74.50;10795.00;5.00;15113.00;7.00
2016-01-14;GAS_BASE_S-S-16;66.20;66.20;66.20;66.20;4392.00;1.00;290750.40;1.00;66.10;66.20;786168.00;179.00;1734840.00;395.00
2016-01-14;GAS_BASE_S-W-16;73.25;73.25;73.25;73.25;4368.00;1.00;319956.00;1.00;72.85;73.25;1236144.00;283.00;1873872.00;429.00
2016-01-14;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-14;GAS_BASE_Y-17;-;71.38;-;-;-;-;-;-;71.00;71.75;8628600.00;985.00;9504600.00;1085.00
2016-01-14;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.50;76.00;-;-;-;-
2016-01-15;GAS_BASE_W-03-16;73.00;73.61;73.00;73.65;169680.00;1010.00;12474420.00;14.00;73.65;73.50;334320.00;1990.00;334320.00;1990.00
2016-01-15;GAS_BASE_W-04-16;-;73.75;-;-;-;-;-;-;72.00;75.50;29904.00;178.00;29904.00;178.00
2016-01-15;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;68.50;-;-;-;-;-
2016-01-15;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;68.25;-;-;-;-;-
2016-01-15;GAS_BASE_M-02-16;69.15;69.14;69.10;69.20;38280.00;55.00;2646540.00;7.00;69.20;69.10;9485784.00;13629.00;659112.00;947.00
2016-01-15;GAS_BASE_M-03-16;67.00;67.00;67.00;67.00;3715.00;5.00;248905.00;1.00;67.00;67.10;9583957.00;12899.00;86188.00;116.00
2016-01-15;GAS_BASE_M-04-16;67.00;66.86;66.75;67.00;43200.00;60.00;2888280.00;11.00;67.00;66.75;239760.00;333.00;291600.00;405.00
2016-01-15;GAS_BASE_Q-2-16;65.70;65.70;65.70;65.70;10920.00;5.00;717444.00;1.00;65.70;65.70;9229584.00;4226.00;987168.00;452.00
2016-01-15;GAS_BASE_Q-3-16;-;65.00;-;-;-;-;-;-;65.00;65.10;8891616.00;4027.00;483552.00;219.00
2016-01-15;GAS_BASE_Q-4-16;71.25;71.17;71.00;71.25;13254.00;6.00;943795.25;3.00;71.25;71.00;9436848.00;4272.00;1197278.00;542.00
2016-01-15;GAS_BASE_Q-1-17;-;73.25;-;-;-;-;-;-;73.00;73.50;10795.00;5.00;15113.00;7.00
