TransactionDate,TGEgasDA
2017-09-15,83.15865351629505
2017-09-16,81.47387387387387
2017-09-17,81.10443037974683
2017-09-18,82.15288997214486
2017-09-19,82.5155516431925
2017-09-20,82.59960112623182
2017-09-21,81.90142341619887
2017-09-22,80.33076009501187
2017-09-23,79.28179871520342
2017-09-24,78.1310924369748
2017-09-25,79.2297374897457
2017-09-26,80.99825102880659
2017-09-27,83.14882544271774
2017-09-28,82.57284425133689
2017-09-29,83.42499120647204
2017-09-30,82.42676788685527
2017-10-01,74.97677595628413
2017-10-02,73.63533930857874
2017-10-03,77.68455414012739
2017-10-04,80.50196700507615
2017-10-05,82.5660746812386
2017-10-06,83.38758727695885
2017-10-07,81.86111111111111
2017-10-08,83.50344827586208
2017-10-09,84.71593151479978
2017-10-10,86.26855571496891
2017-10-11,85.89201898188094
2017-10-12,83.53016739446872
2017-10-13,81.45544061302682
2017-10-14,73.59216101694915
2017-10-15,70.11091022443891
2017-10-16,77.01523178807948
2017-10-17,74.94810945273633
2017-10-18,71.29872382198953
2017-10-19,74.7783918367347
2017-10-20,75.83320172290023
2017-10-21,75.88175675675676
2017-10-22,76.39395509499136
2017-10-23,78.51196581196582
2017-10-24,79.92500000000001
2017-10-25,80.72944393801278
2017-10-26,80.6986219081272
2017-10-27,81.28321548195014
2017-10-28,78.89024390243902
2017-10-29,79.92503875968993
2017-10-30,82.54733698357391
2017-10-31,83.97285976355482
2017-11-01,86.31953748006379
2017-11-02,86.01355353075171
2017-11-03,86.09583333333333
2017-11-04,77.58125
2017-11-05,77.00371621621622
2017-11-06,85.93383297644539
2017-11-07,88.68894508670517
2017-11-08,90.91389010989012
2017-11-09,90.79668693009121
2017-11-10,91.00683151718357
2017-11-11,86.98608058608059
2017-11-12,90.58492424242425
2017-11-13,92.00235741444867
2017-11-14,93.10960638590697
2017-11-15,92.21115254237289
2017-11-16,90.33912467700259
2017-11-17,91.67159406858201
2017-11-18,89.9104203539823
2017-11-19,89.5087452471483
2017-11-20,91.3800104794341
2017-11-21,91.47195527015057
2017-11-22,92.95530476626948
2017-11-23,92.54283132530121
2017-11-24,93.04359338061465
2017-11-25,94.3904181184669
2017-11-26,93.80428472702141
2017-11-27,93.61357853982301
2017-11-28,96.87957162597883
2017-11-29,95.3469881814716
2017-11-30,94.99566365007541
2017-12-01,94.98150943396227
2017-12-02,95.65871501272265
2017-12-03,95.42934010152284
2017-12-04,95.94576999339063
2017-12-05,98.75670731707316
2017-12-06,98.27237633365664
2017-12-07,96.95622154779969
2017-12-08,97.61600584795322
2017-12-09,97.16813253012047
2017-12-10,96.6260396039604
2017-12-11,97.26591676040496
2017-12-12,96.52097989949749
2017-12-13,105.09511095700415
2017-12-14,97.75088078291814
2017-12-15,93.97862566438877
2017-12-16,96.92360703812317
2017-12-17,97.01461171662125
2017-12-18,100.00386011616649
2017-12-19,97.0868191896795
2017-12-20,93.64919999999998
2017-12-21,92.32237960339944
2017-12-22,92.32381823726746
2017-12-23,89.07687074829931
2017-12-24,80.77197674418606
2017-12-25,80.71079484425348
2017-12-26,79.70305477528089
2017-12-27,88.68927083333332
2017-12-28,88.93840175953079
2017-12-29,89.83855038302887
2017-12-30,89.15962987886947
2017-12-31,79.8876026272578
2018-01-01,74.70978084415584
2018-01-02,80.79728155339805
2018-01-03,88.94487471526195
2018-01-04,87.41191489361702
2018-01-05,85.90891891891891
2018-01-06,66.95331491712709
2018-01-07,76.11745283018868
2018-01-08,85.69451580020386
2018-01-09,88.36759361233477
2018-01-10,89.62154545454543
2018-01-11,89.8578082829223
2018-01-12,89.86636255454182
2018-01-13,90.8270642201835
2018-01-14,90.01988205560237
2018-01-15,90.53799701789264
2018-01-16,88.84605170387778
2018-01-17,88.79277401608124
2018-01-18,86.69761307362165
2018-01-19,84.26727959697733
2018-01-20,85.31957031249999
2018-01-21,83.27074074074075
2018-01-22,84.4534612910144
2018-01-23,84.98826354679802
2018-01-24,85.87355847849271
2018-01-25,83.99217039504997
2018-01-26,83.66153558052434
2018-01-27,76.8173076923077
2018-01-28,70.67610294117647
2018-01-29,77.7698312236287
2018-01-30,79.4584677419355
2018-01-31,80.47978910369069
2018-02-01,81.81494252873561
2018-02-02,83.95118163054694
2018-02-03,83.84107648725212
2018-02-04,82.90161812297731
2018-02-05,83.36748249999998
2018-02-06,83.19454883720931
2018-02-07,81.79369596541787
2018-02-08,83.61260279870827
2018-02-09,82.48820670628184
2018-02-10,83.06303630363035
2018-02-11,82.40817629179331
2018-02-12,82.50210780926054
2018-02-13,81.85566463552243
2018-02-14,84.02923167018037
2018-02-15,82.99099632503062
2018-02-16,82.06932867481905
2018-02-17,83.0
2018-02-18,82.99823943661971
2018-02-19,83.24516445753562
2018-02-20,86.59550671828741
2018-02-21,89.72938335046248
2018-02-22,93.78734717802713
2018-02-23,103.41161965584531
2018-02-24,115.91039603960398
2018-02-25,117.15081314878893
2018-02-26,119.76767770748047
2018-02-27,116.62822598494914
2018-02-28,120.1688635647516
2018-03-01,175.96544090056284
2018-03-02,208.38901176678758
2018-03-03,202.9489864864865
2018-03-04,154.28086454183267
2018-03-05,138.77353092122144
2018-03-06,94.8472793591761
2018-03-07,96.89111067885625
2018-03-08,93.05724082291248
2018-03-09,87.99005467468562
2018-03-10,90.98429951690821
2018-03-11,88.5385
2018-03-12,88.82982791586998
2018-03-13,106.92376654632972
2018-03-14,106.23210754017306
2018-03-15,104.54545116969923
2018-03-16,105.14565351418003
2018-03-17,113.11496062992126
2018-03-18,106.70836267605634
2018-03-19,106.53846463561938
2018-03-20,97.9969479977753
2018-03-21,96.74105473501301
2018-03-22,99.50559400717452
2018-03-23,96.68567727609178
2018-03-24,92.57317073170732
2018-03-25,89.0075919335706
2018-03-26,90.57736220472441
2018-03-27,86.5169695481336
2018-03-28,86.5335997049422
2018-03-29,88.11079881656805
2018-03-30,86.36602486963497
2018-03-31,83.53145654834759
2018-04-01,85.75872093023256
2018-04-02,88.23853345348051
2018-04-03,94.32442657838733
2018-04-04,85.72265336289726
2018-04-05,86.72115093039282
2018-04-06,87.41263136620859
2018-04-07,86.05658212560385
2018-04-08,82.26480169971671
2018-04-09,85.47652825836218
2018-04-10,82.87058260869566
2018-04-11,81.83807397069086
2018-04-12,83.75600633914422
2018-04-13,82.04945118428654
2018-04-14,80.49509433962264
2018-04-15,78.62636138613861
2018-04-16,81.6309862385321
2018-04-17,86.86317494600434
2018-04-18,84.9768588770865
2018-04-19,82.62370892018781
2018-04-20,81.18551875
